Constituency no.,Constituency ,Party (2019)
1,Chikkodi,BJP
2,Belgaum,BJP
3,Bagalkot,BJP
4,Bijapur,BJP
5,Gulbarga,BJP
6,Raichur,BJP
7,Bidar,BJP
8,Koppal,BJP
9,Bellary,BJP
10,Haveri,BJP
11,Dharwad,BJP
12,Uttara Kannada,BJP
13,Davanagere,BJP
14,Shimoga,BJP
15,Udupi Chikmagalur,BJP
16,Hassan,Others
17,Dakshina Kannada,BJP
18,Chitradurga,BJP
19,Tumkur,BJP
20,Mandya,Others
21,Mysore,BJP
22,Chamarajanagar,BJP
23,Bangalore Rural,INC
24,Bangalore North,BJP
25,Bangalore central,BJP
26,Bangalore South,BJP
27,Chikkballapur,BJP
28,Kolar,BJP
